id,judul,foto,penerbit,isbn,tempat_terbit
,Reformance standars for laboratory personnel,,Oradel,0-87489-363-1,New York
,STRATEGI SERANGAN INTERNET MARKETING,,Gramedia Pustaka Utama,979-533-673-8,Yogyakarta
,"Stroke A-Z : pengenalan, pencegahan, pengobatan, rehabilitasi stroke, serta tana jawab seputar stroke",,BIP,979-798-220-3,Jakarta
,MEMBANGUN SERVER FTP,,Gramedia Pustaka Utama,979-731-621-1,Yogyakarta
,Sosiologi pedesaan kumpulan bacaan,,Gadjah Mada University Press,979-420-373-1,Yogyakarta
,Seri Tutorial Vidio Editing Dengan Pinnaclestudio 9,,Gramedia Pustaka Utama,979-731-768-4,Yogyakarta
,Buku pintar kesehatan :Penyakit jantung,,Arcan,979-431-116-2,Jakarta
,TEKNIK RADIOGRAFI TULANG EKSTREMITAS ATAS,,Gramedia Pustaka Utama,979-448-666-3,Jakarta
,TEKNIK MENGGAMBAR ARSITEKTUR DENGAN ARCHICAD 7.0,,Gramedia Pustaka Utama,979-731-673-4,Yogyakarta
,Informasi lengkap untuk penderita & keluarganya : hipertensi,,Gramedia Pustaka Utama,979-22-0860-7,Jakarta
,Prospek gerakan oposisi : dalam era pemerintahan gus dus - megawati,,Gramedia Pustaka Utama,979-421-824-3,Jakarta
,Diagnosis penyakit jantung,,Widya Medika,979-519-081-4,Jakarta
,DEBIAN GNU/LINUX,,Gramedia Pustaka Utama,979-731-146-5,Yogyakarta
,Fight obseity : from cells community,,Unibraw,979259011-0,Malang
,Pengantar sosiologi pedesaan dan pertanian,,UGM Press,979-420-459-5,Yogyakarta
,PEMROGRAMAN DATABASE MYSQL DENGAN BAHASA PASCAL DI LINUX,,Gramedia Pustaka Utama,979-731-830-3,Yogyakarta
,Tuberkulosis klinis,,Widya Medika,979-519-104-7,Jakarta
,Demam berdarah pada anak,,Fakultas Ekonomi UI,979-456-007-3,Jakarta
,Dasar pemrograman database web dengan ASP,,Gramedia Pustaka Utama,979-731-691-2,Yogyakarta
,Textbook of immunopharmachology,,Blackwell,0-632-03025-4,Leiden
,Infection resistance and immunity,,Richard irwin,0-06-043791-x,Leiden
,Patologi klinik untuk kurikulum pendidikan dokter berbasis kompetensi,,Universitas Trisakti,979-8398-96-3,Jakarta
,Pertolonga pertama pada kecelakaan di rumah dan di tempat kerja,,Fitramaya,979-37340-05-x,Yogyakarta
,Dasar-dasar perbankan,,Raja Grafindo Persada,979-421-893-6,Jakarta
,Penyakit jamur kulit,,EGC,979-448-664-7,Jakarta
,Penuntun laboratorium klinik,,Gramedia Pustaka Utama,979-523-174-X,Jakarta
,Hematologi : suatu prndekatan patologi,,Kementrian Pendidikan Malaysia,983-62-2529-3,Kualalumpur
,Teori politik moderen,,Gramedia Pustaka Utama,979-421-109-5,Jakarta
,Kapita selekta : hematologi,,EGC,979-448-697-3,Jakarta
,S021433 Atlas berwarna : Patolog anatomi,,Gramedia Pustaka Utama,979-3654-42-2,Jakarta
,Political networks,,Tiara Wacana,0-521-37552-5,Jakarta
,Atlas bantu nefrologi,,HIpokrates,979-492-041-x,Jakarta
,Ilmu penyakit kulit,,HIpokrates,979-492-109-2,Jakarta
,Apresiasi penyakit : pengobatan secara tradisional dan modern,,Gramedia Pustaka Utama,979-518-928-x,Jakarta
,Informasi lengkap untuk penderita & keluarganya : stroke,,Gramedia Pustaka Utama,979-22-1380-5,Jakarta
,Melonoma dari biologi molekuler sampai dengan penatalaksanaan,,Fakultas Ekonomi UI,979-496-279-1,Jakarta
,Parasitologi kedokteran,,Fakultas Ekonomi UI,979-496-043-8,Jakarta
,Perkembangan masyarakat lintas ilmu,,Gramedia Pustaka Utama,979-22-1955-2,Jakarta
,Jean Craighead george julie of the wolves,,Scholastic inc,0-590-13470-1,Bandung
,"Meredakan rasa sakit : cara tercepat ntuk menringankan rasa sakit, menyejukkan rasa perih, dan mengurangi rasa nyeri",,BIP,9789796-946815,Jakarta
,Dasar-dasar kromatografi gas,,ITB Bandung,979-8001-26-5,Bandung
,Nyeri kepala menahun,,Fakultas Ekonomi UI,979-8034=35-x,Jakarta
,Kimia analitik instrumen,,Ikip Semarang Press,979-8107-97-7,Semarang
,Buku ajar mikrobiologi kedokteran,,Fakultas Ekonomi UI,979-583-424-x,Jakarta
,Elektrokimia & Kinetikakimia,,PT. Citra Aditya Bakti,979-414-620-x,Bandung
,Prinsip-prinsip kimia modern,,Gramedia Pustaka Utama,979-688-268-x,Jakarta
,Cara kromatografi preparatif,,Gramedia Pustaka Utama,979-8591-09-7,Bandung
,"Gerak penduduk, pembangunan dan perubahan sosial",,Gramedia Pustaka Utama,979-456-039-1,Jakarta
,Prinsip keseimbangan kimia,,Fakultas Ekonomi UI,979-456-030-8,Jakarta
,WINDOWS NT WORKSTATION 4.0 MCSE STUDY SYTEM,,IDG BOOKS,0-7645-4606-6,Bandung
,Cara mengidentifikasi flavonoid,,ITB Bandung,979-801-21-4,Bandung
,Para politisi dan lagunya,,LKis,979-25-5233-2,Yogyakarta
,Kimia koordinasi,,Gramedia Pustaka Utama,979-518-031-2,Jakarta
,Kimia analitik instrumen,,Gramedia Pustaka Utama,979-8107-97-7,Surabaya
,Penuntun analisis polimer aktual,,Andi,979-533-266-x,Yogyakarta
,Iptek penukar ion,,Angkasa,979-533-289-9,Yogyakarta
,JARINGAN SYARAF TIRUAN & PEMROGRAMANYA MATLAB,,Gramedia Pustaka Utama,979-731-636-X,Jakarta
,MAHIR DALAM 7 HARI MACROMEDIA DREAMWEAVER DENGAN ASP,,Gramedia Pustaka Utama,979-763-321-7,Yogyakarta
,Dasar pemrograman WEB dinamis dengan JSP -java server pages,,Angkasa,979-731-398-0,Yogyakarta
,MEMBUAT ANIMASI WEB DENGAN MACROMEDIA FLASH PROFESSIONAL 8,,Gramedia Pustaka Utama,979-763-507-4,Yogyakarta
,Pemrograman wap dengan menggunakan wml,,Gramedia Pustaka Utama,979-763-517-1,Yogyakarta
,Masyarakat indonesia memasuki abad ke dua puluh satu,,Gramedia Pustaka Utama,979-8439-02-3,Jakarta
,Membuat aplikasi web interaktif dengan ASP,,Informatika Bandung,979-3338-72-5,Bandung
,MULTIMEDIA ALAT UNTUK MENINGKATKAN KEUNGGULAN BERSAING,,Gramedia Pustaka Utama,979-731-017-5,Yogyakarta
,Sosiologi perubahan sosial,,Kencana Prenada Media,979-3464-16-X,Jakarta
,The craft of political research,,Prentice Hall,0-13-189283-5,Jakarta
,PENGENALAN AUTO CAD 2 DDAN 3D UNTUK INDUSTRI MANUFAKTUR,,Gramedia Pustaka Utama,979-763-330-6,Yogyakarta
,Memantau pemilu mendorong demokratisasi,,Forum rektor,979-9235-01-4,Surabaya
,women in political theory,,Harvester Wheatsheaf,0-7450-1146-2,Bandung
,Ekonomi regional : teori dan aplikasi,,Djambatan,979-526-761-2,Jakarta
,Understanding and usung english grammar,,Gajah mada university press,0-13-943614-6,Leiden
,Sosiologi ilmu pengetahuan berparadigma ganda,,Gramedia Pustaka Utama,979-421-888-X,Jakarta
,kimia Dasar Prinsip dan terapan modern,,Erlangga,22-00-021-0,Jakarta
,Pengantar ilmu politik,,Rajawali Pers,979-421-141-9,Jakarta
,Pengantar Manajemen,,PT. Bumi Angkasa,979-526-704-3,Jakarta
,Sinopsis obstetri,,Program Pasca Sarjana Magister Ilmu Administrasi Negara Unmul,979-448-400-6,Jakarta
,Esensial obstetri dan ginekologi,,HIpokrates,979-492-114-9,Jakarta
,Mahir Dalam 5 Hari Autocad 2D Untuk Teknik Mesin,,Gramedia Pustaka Utama,979-763-670-4,Yogyakarta
,Desain Grafis komputer (Teori Grafis Komputer),,Gramedia Pustaka Utama,979-731-846-X,Yogyakarta
,Comparative government an introroduction,,Prentice Hall,0-86003-719-3,Bandung
,Panduan Aplikatif Belajar Auto CAD 2004,,Gramedia Pustaka Utama,979-731-362-x,Yogyakarta
,Desain gedung dan bangunan dengan autocad 2006,,Gramedia Pustaka Utama,979-763-587-2,Yogyakarta
,Penyakit jantung anak,,Program Pasca Sarjana Magister Ilmu Administrasi Negara Unmul,979-448-658-2,Jakarta
,Ilmu penyakit kulit dan kelamin,,Fakultas Ekonomi UI,979-496-210-4,Jakarta
,PANDUAN PRAKTIS MENGGAMBAR BANGUNAN GEDUNG DENGAN AUTO CAD,,Gramedia Pustaka Utama,979-731-031-0,Yogyakarta
,Citra Manusia dalam Novel Indonesia Modern 1920-1960,,Depdikbud,979 459 793 7,Jakarta
,Psikiatri : konsep dasar dan gangguan-gangguan,,PT. Refika Aditama,979-3304-42-1,Bandung
,Konsep dasar kesehatan jiwa,,Program Pasca Sarjana Magister Ilmu Administrasi Negara Unmul,979-448-730-9,Jakarta
,Business Reports In English,,Cambridge University Press,0-523-27294-7,New York
,Sosiologi pariwisata,,Andi,979-731-700-5,Yogyakarta
,Terapi kognitif untuk depresi dan kecemasan suatu petunjuk bagi praktisi,,Blackweell Sientific,0-632-02636-7,Leiden
,Diaknosis & penyakit reumatik,,Sagung seto,979-3288-17-5,Jakarta
,Mengatasi sres,,Gramedia Pustaka Utama,979-413-662-x,Yogyakarta
,Informasi lengkap untuk penderita & keluarganya,,Gramedia Pustaka Utama,979-22-0611-3,Jakarta
,Pemeriksaan klinik neurologik dalam praktek,,Program Pasca Sarjana Magister Ilmu Administrasi Negara Unmul,979-448-061-4,Jakarta
,Kumpulan neurologi : bagian neurologi fakultas kedokteran,,Fakultas Ekonomi UI,979-8034-59-7,Jakarta
,Informasi lengkap untuk penderita & keluarga diabetes,,Gramedia Pustaka Utama,979-22-0859-3,Jakarta
,Pengantar Akuntansi Keuangan,,Gramedia Pustaka Utama,979-411-636-X,Jakarta
,Analytical chemistry,,John Wiley & Sons,0-471-83730-x,Bandung
,Bagaimana Menulis Drama ; Sebuah Tuntunan Praktis Menulis Drama Bagi Kepentingan Pentas,,Armico,978-979-727-585-3-2,Bandung
,Biokimia Harper,,Buku Kedokteran EGC,979-448-593-4,Jakarta
,Buku penuntun Membuat; Tesis Skripsi Disertasi Makalah,,Bumi aksara,979-526-203-3,Jakarta
,Psikoterapi anak autisma : teknik bermain kreatif non verbal & verbal,,Pustaka Populer Obor,979-461-497-1,Jakarta
,Kesehatan mental dalam kehidupan,,Priastu,975-518-927-1,Jakarta
,Chemistry A Humanistic View,,Mc Graw Hill Higher,0-07-001786-7,Bandung
,Akuntansi biaya,,Gramedia Pustaka Utama,979-411-738-2,Jakarta
,Mengatasi insomnia (kesulitan tidur),,Arcan,979-431-129-4,Jakarta
,Analisis Data penelitian kualitatif,,Rajawali Pers,979-421-931-2,Jakarta
,Pengantar konseling dan psikoterapi,,Rajawali Pers,979-421-281-4,Jakarta
,Abnormal psychology,,Mayfield publishing,1-55934-266-8,Leiden
,Kaedah analisis beralatan,,Dewan bahasa dan pustaka,983-62-3521-3,Kuala lumpur
,Pengantar Apresiasi Karya Sastra,,PT.Sinar Baru Algensindo,978-979-870-2091,Bandung
,Masyarakat indonesia memasuki abad ke dua puluh satu,,Gramedia Pustaka Utama,979-8439-02-3,Jakarta
,Kimia organik,,ITB Bandung,979-8001-27-3,Bandung
,Kimia Analitik instrumen,,Ikip Semarang Press,979-8107-97-7,Semarang
,Teori-teori politik dewasa ini,,Gramedia Pustaka Utama,979-421-505-8,Jakarta
,Social mobility and political attitudes : comparative perspectives,,Transaction Publishers,0-88738-347-5,Jakarta
,Writing Fundamentals,,Macmillan,0-02-379670-7,Canada
,Permainan Bola Basket,,PT. Citra Aji Parama,979-1464-78-5,Yogyakarta
,The structure of scientific revolutions : Peran paradigma dalam revolusi sains,,Gramedia Pustaka Utama,979-514-218-6,Bandung
,Indocina persilangan kebudayaan,,KPG (kepustakaan populer gramedia),979-9023-87-4,Jakarta
,Abnormal psychology,,Prentice Hall,0-13-003765-6-0,Cili
,Analisis regresi,,ITB Bandung,979-8591-23-3,Bandung
,Teknik Pengambilan keputusan,,Rineka Cipta,979-518-184-x,Jakarta
,Mikrobioogi kedokteran (medical microbiology),,Salemba Medika,979-3027-04-5,Jakarta
,Pengantar statistik pendidikan,,Gaung persada press,979-3869-17-8,Jakarta
,Probabilitas dan statistik,,Erlangga,979-781-612-5,Gelora aksara pratama
,The social and political contexts of family therapy,,Allyn and bacon,0-205-12455-0,Leiden
,Zoonosis : penyakit menular dari hewan ke manusia,,Gramedia Pustaka Utama,979-21-0396-1,Yogyakarta
,Dasar biologis & klinis : Penyakit infeksi,,Gramedia Pustaka Utama,979-420-328-9,Yogyakarta
,Matematika terapan untuk bisnis dan ekonomi,,BPFE,979-503-828-0,Yogyakarta
,"Bahavior therapy : concepts, procedures, and applications",,Allyn and bacon,0-205-12341-4,Leiden
,Case histories of psychopathology,,Allyn and bacon,0-205-12085-7,Leiden
,Malaria secara ringkas : dari pengetahuan dasar sampai terapan,,Program Pasca Sarjana Magister Ilmu Administrasi Negara Unmul,979-448-685-x,Jakarta
,Statistika untuk kimia analitik,,ITB Bandung,979-8001-48-6,Bandung
,Keterampilan pokok ilmu bedah,,Program Pasca Sarjana Magister Ilmu Administrasi Negara Unmul,979-448-338-9,Jakarta
,Statistika terapan untuk penelitian,,Alfabeta,979-8433-12-2,Bandung
,Metode ramalan kuantitatif untuk perencanaan ekonomi dan bisnis,,Rineka Cipta,979-518-370-0,Jakarta
,Statistika untuk ilmu-ilmu sosial,,Gramedia Pustaka Utama,979-511-416-6,Jakarta
,Manual matematika ekonomi,,Gadjah Mada University Press,979-420-457-9,Yogyakarta
,Akuntansi keuangan menengah 1,,Fakultas Teknik,979-9242-09-6,Jakarta
,Kota dan lingkungan pendekatan baru masyarakat berwawasan ekologi,,LP3ES,979-3330-10-4,Jakarta
,Ragam citra kota Banda Aceh,,Pustaka bustanussalatin,978-979-18744-0-3,Bandung
,Akuntansi Biaya,,Gramedia Pustaka Utama,979-411-368-9,Jakarta
,Finance and Accounting,,Macmillan,0-333-61585,Leiden
,Prairie small-town survival : the challenge of agro manitoba,,Edwin mellen press,0-88946-211-9,Bandung
,Akuntansi penjualan angsuran dan konsinyasi,,Fakultas Teknik,979-8140-18-4,Jakarta
,Public & private families an introduction,,Gramedia Pustaka Utama,0-07-240544-9,Bandung
,Anggaran perusahaan 2,,BPFE,979-503-249-6,Yogyakarta
,Motivasi dalam pemotivasian dalam manajemen,,Gramedia Pustaka Utama,979-421-687-9,Jakarta
,Perilaku politik,,Ikip Semarang Press,979-8579-37-2,Surabaya
,Manajemen mutu terpadu (Total Quality Managemen),,Mc Graw Hill Higher,979-450-376-2,Jakarta
,Kekuasaan dan negara pemikiran politik ibnu khaldun,,Gramedia Pustaka Utama,979-511-308-9,Jakarta
,Pelayanan Prima Perpajakan,,Gramedia Pustaka Utama,979-518-870-4,Jakarta
,prinsip-prinsip Kimia modern,,Gramedia Pustaka Utama,979-688-267-1,Jakarta
,Pengantar ilmu politik,,Gramedia Pustaka Utama,979-421-141-9,Jakarta
,Fisika untuk Sains dan teknik,,Gramedia Pustaka Utama,979-411-625-4,Jakarta
,Dasar-dasar Biokimia,,Fakultas Ekonomi UI,979-456-308,Jakarta
,Teori politik dewasa ini,,Gramedia Pustaka Utama,979-421-505-8,Jakarta
,Prinsip-prinsip pemasaran,,Gramedia Pustaka Utama,979-688-205-1,Jakarta
,Akuntansi; basis pengambilan keputusan bisnis,,Gramedia Pustaka Utama,979-8190-81-5,Jakarta
,Ilmu negara,,Djambatan,979-526-008-1,Jakarta
,Accounting; principles & practices,,Sousth-western publishing comp.,0-538-0130-X,"Ciracas,Jakarta"
,Biologi,,Gramedia Pustaka Utama,979-781-713-x,Jakarta
,Biokimia nutrisi dan metabolisme,,Fakultas Ekonomi UI,979-456-095-2,Jakarta
,Financial accounting,,Gramedia Pustaka Utama,0-07-230036-3,Jakarta
,Statistics EconomicsAccounting and Business Studies,,Longman,0-582-23953-2,London
,Statistika untuk phisikologi dan pendididkan,,PT. Refika Aditama,979-1073-29-5,Bandung
,Statistical concepts and methods,,John Wiley and sons,0-471-03532-7,New York
,Teknik analisis regresi dan korelasi,,tarsito,979-9185-14-9,Bandung
,Pengambilan keputusan manejerial dengan komputer mikro,,Remaja Rosdakarya,979-426-275-7,Jakarta
,"Statistika untuk biologi,farmasi,kedokteran,dan ilmu yang bertautan",,ITB Bandung,979-8001-15-10,Bandung
,Statistics,,Mc Graw Hill Higher,0-07-229550-3,USA
,Numerical methodds for matematics science and engineering,,Prentice Hall,0-13-62504-5,USA
,Statistika matematika modern,,ITB Bandung,979-8591-05-4,Bandung
,Negara anarkhi,,LKis,979-98451-1-4,Yogyakarta
,Ilmu negara,,Gaya media pratama,979-578-001-8,Jakarta
,Pengantar ilmu politik,,Gramedia Pustaka Utama,979-518-052-5,Jakarta
,Managerial Accounting,,"Business Publication, INC",0-256-03261-0,Texas
,Refleksi atas revolusi di eropa,,Gramedia Pustaka Utama,979-511-047-9,Jakarta
,Politik kerakyatan,,Gramedia Pustaka Utama,979-91-0001-1,Jakarta
,Teori politik modern,,Gramedia Pustaka Utama,979-421-109-5,Jakarta
,Hidrologi untuk insinyur,,Gramedia Pustaka Utama,32-00-072-1,Jakarta
,Teori perbandingan politik,,Gramedia Pustaka Utama,979-421-929-0,Jakarta
,Sumbangan ilmu sosial terhadap konsepsi ketahanan nasional,,Gadjah Mada University Press,979-420-350-5,Yogyakarta
,Kecerdasan komunikasi seni berkomunikasi kepada publik,,Gramedia Pustaka Utama,979378228-5,Bandung
,Geomorfologi dan analisis landscape,,Fajar Gemilang,979-97957-4-5,Samarinda
,Birokrasi publik dalam sistem politik semi parlementer,,Gava Media,979-3469-53-6,Yogyakarta
,Teori Akuntansi,,Salemba Empat,979-691-007-1,Jakarta
,Pengantar ilmu pemerintahan,,Gajah mada university press,979-8020-69-3,Bandung
,Hidrologi dan pengelolaan daerah aliran sungai,,Gramedia Pustaka Utama,979 -420-561-3,Yogyakarta
,Dasar-dasar akuntansi untuk agribisnis,,Depdiknas,979-95979-4-3,Jakarta
,Dasar-dasar hidrologi,,Gadjah Mada University Press,979-420-176-6,Yogyakarta
,Matematika teknik,,Erlangga,979-688-999-4,Jakarta
,Hidrologi hutan,,Gadjah Mada University Press,979-420-088-3,Yogyakarta
,Politik yang mencari bentuk,,LKis,979-25-5232-4,Yogyakarta
,Political innovation and conceptuan change,,Tiara Wacana,0-521-35978-3,Bandung
,Hidrologi dan pengelolaan daerah aliran sungai,,Gramedia Pustaka Utama,979-420-358-0,Yogyakarta
,Politikologi,,Gramedia Pustaka Utama,90-14-029039,Jakarta
,Pancasila dan UUD 45 dalam paradigma reformasi,,Gramedia Pustaka Utama,979-421-807-3,Jakarta
,Flu burung : ancaman dan pencegahan,,Depkominfo,979-99613-3-5,Jakarta
,Bimbingan dan konseling di Institusi pendidikan,,Media Abadi,979-52527-4,Yogyakarta
,Causes 0f diabetes : genetic and environmental factors,,John Wiley & Sons,0-471-94040 2,Bandung
,Ilmu negara umum,,Pradnya Paramita,979-408-049-7,Jakarta
,Pengendalian kualitas statistik,,Andi,797-763-051-x,Yogyakarta
,Pengantar sosiologi sebuah pembandingan jilid 1,,Tiara Wacana,979-8120-10-8,Yogyakarta
,Ilmu negara,,Liberty,979-499-009-4,Yogyakarta
,Political theory and postmodernism,,Tiara Wacana,0-521-40122-4,Bandung
,International politics on the world stage,,Dushkin Publishing Group,0-87967-752-X,Jakarta
,fISIKA kEDOKTERAN,,Djambatan,979-448-058,Jakarta
,Parasitologi kedokteran,,Gramedia Pustaka Utama,979-496-043-8,Jakarta
,The Tiger Rising,,Scolastic Inc,0-439-38995-x,Sydney
,Elements of microbiogy,,Gramedia Pustaka Utama,07-066472-2,Bandung
,Perspectives on work the family : the family therapy collection,,Aspen,0-89443-610-4,Bandung
,Demokrasi dan kontitusi di Indonesia,,Rineka Cipta,979-518-845-3,Jakarta
,Basic Writing,,Pustaka Cakra Surakarta,979-3455-38-1,Surakarta
,Hamilton bailey ilmu bedah gawat darurat,,Gadjah Mada University Press,979-420-247-9,Yogyakarta
,Pengantar Apresiasi Karya Sastra,,PT.Sinar Baru Algensindo,978-979-670-209-1,Bandung
,Pedoman Teknik Penulisan Skripsi,,Djambatan,978-979-526-108-3,Jakarta
,Pedoman perawatan restoratif atraumatik : penanggulangan karies gigi,,Gramedia Pustaka Utama,979-420-446-3,Yogyakarta
,Pedoman Membuat Skripsi,,CV. Haji Masagung,979-412-051-0,Jakarta
,Complete guide to repetitive strain injury : what you need to know about RSI and carpal tunnel syndrome,,John Wiley & Sons,071-38843-2,Canada
,Ayat-Ayat Cinta,,Basmala Republika,979-3604-02-6,Jakarta
,SISITEM INFORMASI KOMPUTER DALAM BISINIS,,Gramedia Pustaka Utama,979-518-703-1,Jakarta
,Anestesi lokal,,HIpokrates,979-492-037-1,Jakarta
,TRIK-TRIK ANALISIS STATISTIK DENGAN SPSS 15,,Gramedia Pustaka Utama,978-979-27-1930-7,Jakarta
,METODE PENELITIAN KEPENDIDIKAN,,Quantum teaching,979-3245-05-0,Jakarta
,Anestesiologi,,Gramedia Pustaka Utama,979-512-004-2,Jakarta
,"METODOLOGI PENELITIAN SASTRA EPISTEMMOLOGI ,MODEL ,TEORI DAN APLIKASI",,cps,979-602-97912-1-1,Yogyakarta
,Ketika cinta bertasbih,,Basmala Republika,978-979-3210-84-1,Jakarta
,KONSEP DAN IMPELEMENTASI STRUKTUR DATA,,Gramedia Pustaka Utama,979-3338-64-4,Bandung
,Dasar-dasar teknik operasi ginekologi,,Program Pasca Sarjana Magister Ilmu Administrasi Negara Unmul,979-448-606-x,Jakarta
,172 TEKNIK PROFESIONAL ADOBE INDESIGEN cs2,,Gramedia Pustaka Utama,979-20-9654-X,Jakarta
,Ketika cinta bertasbih,,Basmala Republika,978-979-1102-13-1,Jakarta
,"Penyakit telinga, hidung dan tenggorokan",,Program Pasca Sarjana Magister Ilmu Administrasi Negara Unmul,979-448-015-0,Jakarta
,MENYUSUN PRESENTASI DENGAN MICROSOFT POWERPOINT XP SECARA PROFESONAL,,Gramedia Pustaka Utama,979-9550-36-x,Jakarta
,SISTEM INFORMASI KOMPUTER DALAM BISNIS,,Gramedia Pustaka Utama,979-518-703-1,Jakarta
,"Teknik pemeriksaan telinga, hidung, tenggorokan",,Program Pasca Sarjana Magister Ilmu Administrasi Negara Unmul,979-448-493-8,Jakarta
,An introduction to political science methods,,Prentice Hall,0-13-489071-X,America
,STEP BY STEP SPSS 13 ANALISIS DATA STASTISTIK,,Gramedia Pustaka Utama,979-731-826-5,Yogyakarta
,Dari gunung api hinnga otonomi daerah,,Yayasan Media Bakti Tambang,979-96649-0-2,Jakarta
,Pendidikan pancasila,,Gramedia Pustaka Utama,979-518-700-7,Jakarta
,ANALISIS DATA DENGAN EXCEL 2007,,Gramedia Pustaka Utama,978-979-27-1832-4,Jakarta
,Novel berbahasa Jawa,,Ikip Semarang Press,979-8579-14-3,Semarang
,Neuroscience,,Sinauer Associates,978-0-87893-725-7,Bandung
,Pendidikan pancasila,,Paradigma,979-8658-00-0,Yogyakarta
,Theory and problems of Matrices,,Mc Graw Hill Higher,0-07099035-2,New York
,Pendidikan pancasila,,UGM Press,979-602-611-2,Yogyakarta
,The ory and problems of Calculus,,Mc Graw Hill Higher,0-07-099005-0,New York
,Elemen fotogrametri,,Gadjah Mada University Press,979-420-278-9,Yogyakarta
,Basic matematical skills,,Mc Graw Hill Higher,10-0-07-301905-5,USA
,Mathematics with application,,Harper Collins,0-673-46277-3,USA
,Sistem pemerintahan Indonesia,,Rineka Cipta,979-518-550-0,Jakarta
,Statistika deskriptif dalam bidang ekonomi dan niaga,,Erlangga,978-979-015-261-8,Jakarta
,Probability,,Mc Graw Hill Higher,0-07-099031-x,New York
,Rancangan dan produksi kartografi,,Longman,0-582-48440-5,Semarang
